name,age,street,city,state,zip,lng,lat
Timothy Miles,55,2302 Berger Key Suite 204,Bennettton,Missouri,34512,-176.998681,-42.6868735
Albert Stanley,67,619 James Valleys,Gutierrezstad,South Carolina,41926,88.951700,-41.707610
Jennifer Graves,24,33809 Seth Lakes Suite 347,Melissaborough,Texas,66488,-102.294159,85.9465185
Amy Porter,69,19011 Allen Bypass Suite 196,Stevenshaven,California,17277,-19.805161,18.508300
William Martin,75,10398 David Lodge Apt. 160,West Jeffreymouth,California,99682,28.439657,-42.474869
Nathan Benton,70,4707 Craig Centers,East Ashley,Oregon,48734,0.838183,-19.7776655
Amy Romero,61,039 Cody Squares Suite 173,Scottborough,Colorado,42030,86.288499,87.0005285
Amy Richards,33,6345 Larry Club Suite 312,Port Shelley,Vermont,82207,-60.379986,26.431518
Kimberly Miles,23,251 Palmer Tunnel Suite 252,New Valerie,Ohio,09343,102.725010,-80.9753895
Kristen Stewart,63,2404 Miller Pines Suite 254,New Sandra,Illinois,09506,34.969717,-0.864981
Michael Davis,65,48087 Choi Burgs Suite 697,Port Phillip,Arkansas,71690,-48.355740,-77.121978
Ashley Zhang,47,68723 Lewis Dale,New Kathleenbury,Florida,25680,-6.162038,26.358863
Tina Young,67,9937 May Canyon,Lake Danielberg,Kansas,99628,46.619388,74.0993115
Lauren Garrison MD,69,9645 Tracy Motorway Apt. 610,West Sharonland,New Jersey,70194,32.710279,88.407602
Monica May,19,2313 Mckenzie View Suite 650,North Veronica,Maine,10047,-61.947080,6.032356
David Lopez,79,3949 Reeves Stravenue,New Joseph,Minnesota,83551,-168.773100,30.729230
Lauren Hall,70,52870 Lopez Highway,Gambleville,Wyoming,77489,129.053016,-28.489547
Rebecca Baker,52,9824 Harry Underpass Suite 817,West Charles,Alabama,57939,-123.176088,48.470308
Scott Smith,41,496 Maurice Harbor Apt. 702,Weberchester,New York,41225,126.089745,-63.296901
Kelly Adams,67,74095 Hayes Course Apt. 720,Theresaport,Montana,66520,123.300494,89.9198745
Matthew Evans,49,4690 Kayla Flats Suite 234,Johnton,West Virginia,43865,92.262762,50.397536
Jennifer Hughes,22,9686 Ruth Islands,West Tammy,New Jersey,46739,36.048370,9.048255
Allison Wagner,21,58519 Meyer Brook,Brianchester,Washington,53857,151.243226,-71.030552
Jasmine Tucker,48,7896 Leslie Hill,West Bryan,New Jersey,55110,-168.970697,83.2866885
David Richmond,57,909 Zachary Passage,Wallacetown,Nevada,73818,26.965676,-76.310798
Brandon Miranda,62,9719 Frank Lake,East Darrellstad,Delaware,47016,-84.685319,59.476111
David Bailey,54,71328 Reese Trail,Frederickbury,Hawaii,95037,-61.161462,-6.0204145
Alice Myers,21,9617 Robert Spring,West Sharonside,Indiana,82898,-44.714946,-27.4202765
Kathleen Contreras,24,037 White Overpass,Ashleyside,Arizona,36451,101.719914,85.210953
Michelle Sharp,44,77404 Nichols Islands Suite 709,Lake Barbara,South Dakota,40289,-172.175426,7.492945
Patrick Hanson,18,1230 Jennifer Estate,Frenchport,Tennessee,92238,-136.418044,17.9171505
Clayton Lopez,68,5253 Rodriguez Mission,Suarezfort,Washington,97053,-118.549600,61.403901
Kristy Elliott,42,480 Valerie Roads Apt. 919,Lake Rebeccamouth,Wisconsin,16279,72.575030,21.6916145
David Cooper,74,3760 Villa Valleys Apt. 690,South Victoriashire,Alabama,08719,-178.214601,26.341869
Michael Moore,42,5491 Anthony Forks Apt. 829,Christophershire,New Mexico,47438,50.227357,-26.893835
Scott Johnson,75,54218 Reynolds Lane Suite 481,North Sharon,Washington,45659,71.694098,-33.7170015
Elizabeth Reilly,54,2548 Ingram Fort,Port Jennifer,Washington,56553,-10.257530,-61.267632
Stephanie Randall,46,998 Matthew Mount,Elizabethville,West Virginia,29548,-74.320612,-13.454772
Jared Brown,74,711 Smith Grove,North Brandontown,New Mexico,33458,-96.910817,-85.659581
Michelle Smith,64,153 Daniel Manors Suite 197,Port Leonside,Alabama,74890,-100.533472,58.513291
Kenneth Moss,66,0105 Jennifer Camp,Matthewmouth,Oregon,57622,-77.105339,59.449032
Michael Andrews,20,38348 Diana Causeway Apt. 360,New Sylvia,Colorado,58519,-165.267065,-19.548969
Martha Vargas,54,985 Holland Crescent Apt. 080,North Scottburgh,Delaware,31670,-86.101949,57.631390
Michael Clark,20,490 Janice Crescent,North Tracy,New Jersey,57327,149.071838,14.753650
Jose Solis,28,315 Archer Divide Suite 575,North Emilybury,Alabama,14500,-60.088839,-66.815362
David Wilson,75,305 Walker Center,North Amanda,Maine,69350,125.310422,1.532738
Stephanie Mckay,43,0954 Rogers Pike Suite 626,Hayesbury,Pennsylvania,85014,-53.457141,-81.6352215
Matthew James,61,256 Lloyd Pine,Lake Angelahaven,Florida,54730,24.557412,-53.696173
Marcus Griffin,33,001 Reilly Expressway,Reevestown,Massachusetts,43921,-147.731451,71.394833
Jason Carter,75,5105 Pamela Manors Apt. 962,Hintonton,Georgia,83914,138.392775,85.033968
Dylan Sparks,50,2744 Joseph Squares,South Hollystad,Wyoming,21859,13.922803,7.6016795
John Hudson,63,2072 Jeffrey Haven Apt. 564,Jasonview,Nevada,16797,50.747903,-68.805759
Ashley Khan,41,793 Gomez Gateway Suite 124,Port Tammyton,Illinois,57773,-30.813283,-44.255095
Mary Torres,29,28426 Simpson Neck Apt. 696,Kellyberg,Montana,95144,-112.536799,-33.1817835
Joy Reyes,27,9667 Monica Fall Apt. 687,East Crystal,Alabama,15216,-176.149702,-3.7947315
Seth Rodriguez,61,920 Joshua Mission,New Timothyside,Missouri,89269,57.154283,80.363182
Melinda Allen,73,5235 Kidd Park Apt. 014,Lopezton,Michigan,92542,-152.130542,44.5667275
Joshua Li,55,11185 Morris Avenue Apt. 895,West Margaretstad,Oregon,35536,79.989046,-78.861341
David Nunez,51,715 Kimberly Crossroad Suite 109,West Stacey,Mississippi,40477,131.837948,-22.247905
Jessica Hayes,47,19607 Smith Branch,Lake Julie,Hawaii,19173,156.200176,-21.4609405
Andrea Thompson,21,5933 Dunn Village Suite 230,West Shawnbury,Mississippi,01076,-73.441112,41.5960285
Megan Key,31,5828 Hogan Radial Suite 576,South Kevinshire,Rhode Island,87606,-141.655896,83.668739
Tyler Pittman,51,9729 Greene Brook Suite 913,Dixonville,Indiana,13880,27.499809,57.8361535
Cynthia Macdonald,70,11731 Willis Prairie,Tiffanymouth,Alabama,11843,102.518255,-84.4628405
Calvin Ramos,31,94645 William Street,East Earlside,New Hampshire,63621,-151.688312,47.475238
Trevor Michael,66,09715 John Walk Suite 752,Moralesfurt,Michigan,61691,69.613255,6.6047925
Nicholas Jones,46,329 Rodriguez Trail Suite 760,Mcneilbury,Iowa,79312,112.629636,-8.387846
Debra Baker,77,16335 Eric Falls,North Rhonda,Wyoming,20046,169.381325,-6.036645
Peter Jimenez,64,4544 Eric Vista Apt. 256,Harrisville,Washington,62391,112.076310,43.455447
Kristen Buckley,41,1708 Thomas Course Apt. 755,Dawnland,Michigan,87326,129.257726,30.5249725
Jerome Lewis,67,85027 Jordan Run,Port Lindaton,New Hampshire,60026,-66.918449,62.038955
Devin Williams,76,0235 Deleon Track Suite 726,North Patricia,Virginia,32540,127.395687,87.925998
Scott Taylor,72,0925 Kathy Fords Apt. 037,West Sheri,North Dakota,15741,-152.665153,-38.976559
Joanne Campbell,47,46263 Cochran Stream Suite 897,Clineshire,Florida,25052,11.818683,49.3350635
Laura Church,35,2220 Nicholas Isle,Port Michelle,Indiana,89167,168.268558,38.253091
Kevin Barajas,51,797 Kurt Port,Wilsonmouth,New Mexico,91662,-56.847355,41.5826755
Richard Martinez,32,2081 Sean Avenue Apt. 085,Campbellfurt,Oregon,51913,-37.554295,-27.884874
Lindsay Hess,26,360 Campbell Forges,New Tamarashire,Montana,42394,39.683013,45.3387715
Chad Campbell,70,940 Sean Dale Suite 843,Scottburgh,Oregon,53603,155.240882,27.0967545
Jessica Martinez,24,7080 Kent Pass Apt. 112,Lake Meredith,Iowa,55202,130.233933,38.163414
Heather Rhodes,43,32445 Kathy Shores,Joshuaborough,Ohio,95860,88.377231,78.7574785
Brian Lloyd,41,464 Christopher Turnpike,Danaport,Kansas,34809,-65.245107,-55.710619
Laura Potts,51,7824 Franco Meadow Apt. 896,Marchaven,Montana,91600,101.683682,6.7002025
Claire Howell,73,1841 Katherine Spur,West Donnaport,Tennessee,45344,-118.745795,78.2514795
Douglas Smith,68,53832 Webster Streets,Weaverhaven,Arizona,60727,-4.716681,54.2639355
Gabriel Escobar,44,8616 Hogan Keys Suite 470,West Leahberg,Virginia,42390,117.667019,7.522365
Samuel Robinson,57,56941 Sarah Route Apt. 533,East Mark,Louisiana,75168,81.650480,88.735924
Rebecca Gardner,80,366 Marshall Garden Apt. 090,New Ashleyville,Indiana,74528,120.841718,12.9882175
Robert Patel,63,577 Lin Fork Suite 227,Johnsonmouth,Montana,64329,-59.323767,88.0417025
Jason Rocha,62,3667 Maureen Manors Apt. 762,Markville,Maryland,04509,-61.579298,75.613193
Mrs. Dominique Hughes,38,0943 Christina Spur Suite 152,North Carriefurt,Maine,48586,-80.871903,-59.4360365
Miranda Williams,75,9064 Gregory Squares,Dawsonton,Connecticut,23622,142.588969,-55.5615835
Johnny Whitaker,22,5032 Sherman Parkway Suite 352,Port James,New Jersey,37391,-87.565620,-37.4320175
Javier Black,28,0522 Bradley Divide Suite 046,Johntown,West Virginia,42119,-78.893136,-30.0842605
Amy Zuniga,48,93248 Taylor Port,New Matthewview,Iowa,98818,84.762328,-25.826290
Stephen Valenzuela,21,775 Dustin Meadow Suite 948,East Douglas,California,32618,92.298149,74.3064525
Jessica Smith,39,3816 Daniel Mountains,South Lisaberg,Maine,51454,-153.763308,-15.268381
Marie Rivas,80,97955 Mandy Parks,Kimberlyport,Pennsylvania,79471,-144.270177,67.5925465
Patricia Rodgers,71,57606 Michael Pine Suite 400,New Karlport,Idaho,30957,36.349711,-34.783273
Vincent Mcmillan,31,09680 James Pine,Rhondafort,Tennessee,38641,-55.945920,5.4187425
Victor Maldonado,45,020 Mcintosh Station,West Richardchester,Arizona,31360,-164.422769,-37.9192375
Michelle Cruz,61,44856 Rios Station Suite 357,Hughesborough,Oregon,89506,-132.720805,-25.3671485
Gary Griffin,76,1210 Lauren Mountains,Kellybury,New Hampshire,97635,167.365428,-78.512338
Bryan Woodard,20,112 Alexandria Centers Apt. 844,Robertmouth,Rhode Island,20479,-82.394442,14.5303015
Anne Arnold,53,42070 Flores Bypass,Port Mark,Iowa,15035,-10.029923,9.929122
Oscar Cobb,70,449 Walsh Fort,Garyside,Iowa,68175,-126.355349,-37.608008
David Butler,23,051 Michael Vista,Amberville,Georgia,32306,163.684266,8.9152305
Wendy Jensen,52,000 Rebecca Gardens Suite 201,New Amybury,Nebraska,05928,55.940124,2.7130925
Nicholas West,40,96115 Joe Village Suite 294,East Christopherstad,New Hampshire,06144,99.952499,-21.2190475
James Patton,40,77117 Jesse Camp,Robertport,Oklahoma,19929,-145.195275,0.707575
Michael Guzman,42,4988 Jackson Estates,Lake Ronaldfort,Georgia,87734,19.323871,33.7427825
Alexis Francis,73,49408 Reed Trail Apt. 483,Camerontown,Hawaii,22409,110.608058,68.1187045
Jason Munoz,20,74097 Rodriguez Estates Suite 624,Williamschester,Missouri,80038,-43.457815,-10.6338545
Nicholas Lopez,21,56178 Mcguire Way,Campbellville,Oregon,39412,78.286136,33.223477
Jorge Bruce,66,421 Robert Park Apt. 059,Laurenport,Tennessee,15332,-98.015176,23.174965
Julie Martin,73,599 Gary Burgs Suite 785,Yolandahaven,Virginia,65307,-166.046563,60.336212
Julie Davis,77,671 Patricia Hills Apt. 371,Vaughnstad,Virginia,81642,35.071707,-70.9754295
Kelsey Jarvis,66,73960 Sean Village,Lake Erica,Rhode Island,97261,98.295387,-17.809554
Adrian Brown,29,4114 Gallagher Groves Suite 333,Johnsonview,Idaho,86265,-123.649049,-72.337525
Thomas Davis,36,8383 Harrison Estate,Anthonyville,Utah,62680,-23.405484,72.835407
Carla Diaz,49,8933 Karen Drives Apt. 463,West Sheila,Iowa,67663,-92.750864,34.947293
Jill Ford,68,2434 Miller Forks Suite 768,South Ericmouth,Oregon,66575,-33.851549,44.2400195
Lisa Barnes,65,43037 Caldwell Ports Suite 781,Fosterberg,Montana,41872,-157.038977,18.8292455
Nicole Torres,61,073 Angelica Passage,East Kelseyville,Missouri,33302,-11.955275,0.053588
Trevor Cox,66,78259 Schroeder Streets Apt. 077,Lake Jennifershire,Missouri,40778,159.364567,-60.194421
Katherine Branch,40,2396 Thomas Wall,East Albertshire,North Dakota,62299,34.853569,-57.5372895
Leslie Campbell,77,17224 Gerald Loop Apt. 971,East Seth,Minnesota,17890,-68.308602,-31.745295
Theresa Martin,76,51333 Peterson Green Suite 011,Yateston,Vermont,04816,102.126598,89.8885555
Julia Allen,20,7602 Lara Port,West Jesusside,South Carolina,06058,175.810890,21.0420905
Philip Price,60,052 Moreno Harbor Suite 815,Walkerview,New Hampshire,71542,129.102407,-74.6476685
Karen Oneill,53,8495 Glenn Summit,Lake Lisa,Maine,39710,25.144805,-80.540089
Eric Saunders,76,78946 Justin Street Apt. 049,Port Jonathan,Nebraska,69101,165.729881,35.940468
Jeremy Ward,37,463 Priscilla Ford,Kenttown,Connecticut,92921,-173.021081,0.282340
Ashley Kemp,64,6588 Weaver Creek Suite 357,Davisshire,South Dakota,61569,-52.083405,-7.1704195
Brandon Smith,72,048 Boyd Trail,Lake Tracy,Florida,46083,-96.872400,80.774173
Bruce Mcmillan,72,307 Flowers Motorway,Kellyburgh,South Carolina,04411,94.064791,-58.6199025
Benjamin Vaughn,21,485 Keith Fields Suite 326,Hannahville,Oregon,64385,84.661974,3.5294025
Michael Todd,79,0905 Monica Plaza,Yatesmouth,Alaska,07630,-53.935478,-61.120005
Denise Meyer,45,029 Gutierrez Springs,Sharpton,Virginia,36740,-53.696882,-13.161907
Tyler Edwards,38,11660 John Plaza,Jordanchester,Alabama,76209,148.351172,53.2693065
Daniel Hunter,35,9348 Boyd Keys Apt. 600,Lake Charlesburgh,Alabama,14532,22.187887,76.1503925
Douglas Wong,33,2292 Flores Cliff Apt. 377,East Danny,Connecticut,21584,100.781825,25.787121
Jordan Rios,52,72178 Martin Cliffs,Harrisfurt,California,37977,-24.434087,76.3417005
Rebecca Johnson,43,39474 Christopher Ports,Cuevaston,Iowa,54142,-57.917590,29.9850355
Eric Waters,40,41250 Brianna Corner Apt. 287,Josephfort,Arkansas,20525,-158.041481,28.0635485
Brett Hall,74,91493 Gonzalez Summit,Vincentland,Pennsylvania,14736,81.553494,89.297771
Amanda Woodward,72,4884 Singh Mill Suite 974,Vaughnberg,South Dakota,02127,177.893398,-45.8556235
Jennifer Hernandez,52,07876 Joshua Port Suite 503,Lake David,Delaware,41239,-42.276876,-33.5764395
Travis Steele,35,4797 Rodgers Mission,Port Robert,Illinois,01049,-168.718321,-61.976613
Philip Velazquez,42,126 Kelly Hollow,West Anna,Utah,19109,61.410986,-61.9021525
Richard Miles,61,6921 Reid Freeway,Danielchester,Oregon,50741,-45.110776,-15.534471
William Reeves,31,899 Thomas Meadows Suite 750,Mariaburgh,Wyoming,77561,-106.290883,61.496028
Timothy Schmitt,45,44035 Smith Manor,East Robert,Colorado,17254,-106.972561,29.3021555
Jennifer Taylor,60,2386 Miller Parkways,Douglasberg,Arkansas,42148,-31.626276,-80.5831415
Pamela Bowers,64,89762 Omar Drives Suite 563,Gregoryville,Arkansas,23144,157.014079,-30.140374
Christopher Saunders,73,0367 Torres Glen Suite 582,New Jeremyfurt,Washington,45570,24.497263,-20.639016
Michael Owens,70,72370 Deborah Crossroad,Wilkersontown,Arkansas,01112,-125.287616,-22.987732
Karen Wheeler,35,465 Simmons Greens Apt. 221,South Drew,North Carolina,23633,-16.176526,-62.479669
Chris Hodges,53,880 Trujillo Ranch,Mooreshire,Mississippi,30621,-135.372235,-53.950614
Patricia Roberts,73,7001 Jordan Mews,South Shannonstad,North Dakota,00717,69.711720,-79.9204375
Frederick Schmidt,32,811 Medina Hills,Sanchezmouth,Tennessee,95325,66.656058,89.172773
Andrew Johnson,44,63465 Bryan Shore,Johnsonville,Michigan,97998,160.503572,-44.7370235
Veronica Henderson,39,21248 Tina Ridges Suite 745,Jennaville,Illinois,26720,70.583885,-13.681575
David Robinson,75,555 Juarez Prairie Apt. 066,Whitemouth,North Carolina,20545,116.482097,9.9635175
Rickey Arnold,61,9016 Danielle Burgs Apt. 875,Tuckerberg,Pennsylvania,27039,80.056335,62.3229355
Michelle Andrews,78,90224 Daugherty Mountain Suite 322,Lake Dannyport,Utah,33709,-107.014495,87.614270
Dr. Jason Boyd,24,92395 Melissa Key,Shawtown,Pennsylvania,98244,51.754874,3.132445
Melissa Bradshaw,45,36913 Taylor Ville Suite 020,North James,Arizona,68698,-9.370631,-48.750894
Trevor Hill,41,71355 Ashley Turnpike Suite 566,Meganbury,Maine,57622,-164.666884,-9.288567
Sara Mills,51,45725 Elizabeth Lights Suite 684,North Jamesport,North Carolina,97564,-148.208952,-62.559944
Kathleen Jackson,59,53794 Black Place Apt. 005,North Sherryfort,Louisiana,55602,-63.022090,12.595993
George Little,65,6861 Daniel Estate,New Steven,Pennsylvania,88084,-91.222490,2.7911115
Micheal Russell,78,27143 Andrew Courts,Lawrenceberg,Massachusetts,46613,-107.085579,35.7712085
George Cervantes,28,71706 Chelsea Tunnel,Port Kenneth,Delaware,55294,-125.286047,48.753675
Emily White,65,642 Julie Crest Suite 071,New Jimmy,Connecticut,82619,-97.896454,-44.4645685
Chad Sutton,62,6320 Debra Trafficway,Lake Erica,Washington,26934,-1.647348,20.4722935
Jon Graham,70,8064 Mccarthy Green,Christinemouth,Montana,54576,-11.444162,-31.1918085
Jim Harrington,57,5653 Joanna Forest Apt. 426,Port Daniel,Wisconsin,39663,-13.459755,85.762318
Ricky Collins,35,1167 Beck Throughway,Jeffburgh,California,92863,-83.757374,17.528993
Miranda Tucker,40,812 Mills Flats,Willisfurt,Maryland,50711,176.643115,-29.6153195
Steven Knight,48,129 Fisher Inlet,West Nicholasport,Kansas,34208,-32.077744,-88.4264655
Amanda Caldwell,23,18301 Davis Alley Apt. 162,East Stephanie,California,95581,-119.192659,-6.724111
Mark Moyer,20,062 Johnson Heights Suite 830,New Evan,Louisiana,62554,-101.266812,84.2450135
Jim Ward,20,5618 Murray Oval Apt. 494,North Rebecca,North Dakota,64806,10.946826,23.4728725
Lauren Thomas,46,8655 Ferguson Springs,Walshland,New Jersey,68588,-7.946371,20.4074435
Maria Bryant,33,538 Rojas Loop,New Brianhaven,Massachusetts,73839,-40.301866,87.176436
Jenna Parks,30,661 Craig Walk,Johnsonborough,Florida,20703,40.930339,27.816142
Stephanie Bautista,54,856 Fuentes Vista,Malonechester,Mississippi,27228,-11.401428,23.107073
James Wright,40,0492 Samantha Circle Suite 760,South Chaseview,New Jersey,26698,-50.352082,89.3034915
Andrew Nunez MD,66,43055 Cruz Gardens,East Tina,Utah,23877,173.503660,-40.418031
Gabriella Cochran,21,79996 Michelle Greens Suite 328,Jessefort,Delaware,20451,-41.234125,-63.6758435
Tyler Phillips,20,693 Rivers Island,West Kimberlymouth,South Dakota,09178,70.337343,79.1701105
Timothy Young,51,4675 Tyler View Suite 378,Sandovalville,South Carolina,05808,-168.009553,22.439733
Timothy Black,70,92679 Sean Branch Apt. 849,Kevinbury,South Dakota,46549,156.383359,-8.9502525
April Smith,49,5143 Wesley Pine,North Robertshire,Rhode Island,23958,43.841353,-60.4644035
Monica Bartlett,45,93936 Patricia Lights Apt. 220,Margaretborough,Idaho,64589,84.421939,69.882325
Rebecca Garcia,52,269 Kaitlyn Passage,North Staceyport,Maine,16065,-27.938080,24.5995835
Brooke Gallagher,56,64626 Evan Mountain,Lake Stevenborough,South Carolina,45357,87.153428,-17.822643
Lisa Gilbert,80,2391 Williams Pike Apt. 418,Allisonmouth,Mississippi,28995,-0.619611,12.139780
James Smith,68,143 Andrea Turnpike Suite 216,East Curtis,Washington,82147,-100.584472,77.9125205
Zachary Hunter,35,9168 Lloyd Ports,Jonathantown,Delaware,74834,-8.070183,-29.680617
Ms. Dana Hanson,49,5423 Emily Course,West Nicholaston,Virginia,93242,-27.978026,-71.1589415
Mary Jackson,45,6077 Craig Station Suite 084,North Helen,Rhode Island,39178,33.526021,41.2635435
Derek Harrison,77,1817 Brown Ville,Scottshire,New Mexico,67012,-13.766113,0.839357
Jacqueline Price,18,6121 Ashley Parkways Apt. 347,Phillipsville,Vermont,28098,138.093491,84.624318
Amanda Mcdonald,40,9063 Stanley Green,Patriciaport,Maine,01315,106.188411,-81.4371575
Michele Nelson,79,3564 Moreno Mission,Allenton,Idaho,69212,-101.497559,-28.885096
Joseph Rodriguez,18,0193 Walker Shoals,Ayersmouth,New Jersey,46181,-125.881336,47.8783825
Shannon Gardner,75,138 Jennifer Keys,Savageview,Maryland,05884,-90.764742,-21.2984855
Dana Cardenas,24,0964 Smith Terrace,Robertsonbury,Hawaii,43051,-93.894246,-42.4893555
Angie White,53,09228 Patricia Run Suite 825,East Manuel,Kansas,67174,150.197421,58.967638
Kenneth Carter,78,789 Jason Field,Sheilastad,Maine,01500,-51.056327,86.6785385
Jose Lowe,48,75073 Donovan Canyon,Ortizport,Florida,68094,171.082012,39.844895
Shirley Elliott,53,656 Jenny Camp,Evanschester,South Dakota,82693,4.354875,12.359432
Stephanie Williams,50,846 Thomas Loaf,Christianburgh,Minnesota,64787,100.709383,-20.8038145
Lawrence Miller,76,5704 Kathleen Path,New Tyler,Arkansas,15991,114.050100,42.338817
Zachary Lewis,78,2085 Thomas Turnpike,South Melanieberg,Hawaii,02450,129.343014,-51.273668
Ashley Shepherd,23,136 Rodgers Glens Suite 858,New Glenda,Alabama,17320,100.114047,-47.139213
Dustin Armstrong,48,283 Mitchell Lane Apt. 130,Kaiserfort,California,72140,35.125938,4.1084675
Adam Johns,26,29259 Jose Causeway,Flemingview,Oklahoma,43176,-160.141599,-76.3874125
Michael Wilson,80,61478 Patricia Fords,New Crystalborough,Nevada,99106,-137.881051,30.900434
Ronald Morgan,19,728 Anderson Hills Suite 013,Paulmouth,Michigan,41085,45.810464,-76.4278805
Kevin Valencia,56,6740 Ashley Squares Apt. 769,East Sandy,Utah,45062,-23.510572,61.8755415
Glenn Mitchell,28,7535 Cynthia Garden,South Katelynchester,Iowa,44098,162.515700,53.6455145
Joseph Conrad,50,763 Gomez Garden Apt. 723,Port Cheryl,Florida,36365,-118.906170,30.7997135
James Thomas,36,45647 Montoya Grove,Jacquelinehaven,New Mexico,25130,-92.884743,49.6632365
Krista Williams,54,667 Christopher Fork Suite 862,East Kayla,Washington,07450,-15.248381,64.461625
Daniel Hughes,69,1945 Sherri Motorway Suite 205,North Monicaville,West Virginia,65312,-50.150072,43.419581
Christine Matthews,76,02760 Christopher Squares,Schroederville,Wisconsin,37855,-78.936786,12.544962
Maria Lee,72,66053 Roger Harbor Apt. 000,Marthahaven,Washington,13955,-103.260520,-32.441935
John Rogers,55,4575 Logan Rest Apt. 345,Portermouth,Florida,07832,-117.572440,-22.220613
Logan Barnes,56,0685 Frank Springs Apt. 392,East Susan,Pennsylvania,51526,132.543297,68.948925
Catherine Rogers,48,069 Wolf Plaza,North Dawntown,Minnesota,93368,-139.574811,38.879811
Stephanie Scott,60,87464 Day Light Suite 231,East Rachel,West Virginia,73729,26.464745,49.3282335
Dr. Michael Simmons,44,656 Winters Brook,Courtneyshire,Rhode Island,96719,-166.192213,68.275075
Carl Fisher,47,63254 James River Apt. 329,Shawbury,Nebraska,86084,-5.438840,9.386274
Robert Bennett,43,1201 Jodi Shore,South Richard,Iowa,96115,131.111787,-51.159201
Nancy Gonzalez,47,2049 Clark Overpass Apt. 184,Rebeccafurt,Texas,25062,45.113624,-28.233302
Ashley Rogers,38,95046 Jill Burg Apt. 327,Bakerfort,Florida,95026,-93.050932,6.488746
Stacy Jackson,74,825 Nicole Junction,Lake Sara,New York,94543,129.392802,1.7387865
Ashley Morgan,50,988 Jeff Fields Suite 744,Georgeville,Colorado,22463,55.247661,61.3222225
Joseph Mcknight,25,6495 Kevin Pike,Wesleyview,Alaska,19606,-46.844760,44.1408045
Amanda Reed,62,2813 Caroline Wall,Adamhaven,Georgia,72794,115.443358,-21.3191455
Barry Frey,76,2870 Melissa Drives,Ronaldport,Kentucky,55165,-83.463935,61.636106
Amanda Robbins,77,64667 Campbell Neck,Dyerton,North Dakota,89119,-128.885734,-73.0182225
Timothy Keith,30,210 Kayla Dale Apt. 665,Michaelberg,Connecticut,76453,-101.944963,-12.7555565
Keith Bryan,24,8866 Gonzales Plains Apt. 507,South Davidborough,Tennessee,72258,-80.664785,38.4184675
Tyler Humphrey,31,1073 Janet Tunnel,North Chadland,Arkansas,65185,-137.098817,-25.3895605
